date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:10	23007/23007	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202019%2008:27:39%20GMT	http://themes.iki-bir.com/creatink/index9.html	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/index9.html	(from )
16:04:11	707/707	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Nov%202020%2010:04:10%20GMT	http://themes.iki-bir.com/robots.txt		(from )
16:04:12	1261/1261	---MCZ	200	added ('OK')	image/png	date:Mon,%2005%20Jun%202017%2010:46:21%20GMT	http://themes.iki-bir.com/creatink/style/images/favicon.png	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/images/favicon.png	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:12	124340/124340	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Jul%202017%2013:31:15%20GMT	http://themes.iki-bir.com/creatink/style/css/bootstrap.min.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/css/bootstrap.min.css	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:13	89599/89599	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Oct%202017%2010:50:21%20GMT	http://themes.iki-bir.com/creatink/style/css/plugins.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/css/plugins.css	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:13	30060/30060	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202017%2014:05:00%20GMT	http://themes.iki-bir.com/creatink/style/revolution/css/settings.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/revolution/css/settings.css	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:13	140793/140793	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202017%2014:04:56%20GMT	http://themes.iki-bir.com/creatink/style/revolution/css/layers.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/revolution/css/layers.css	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:14	59576/59576	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202017%2014:04:59%20GMT	http://themes.iki-bir.com/creatink/style/revolution/css/navigation.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/revolution/css/navigation.css	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:15	86318/86318	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202017%2010:59:41%20GMT	http://themes.iki-bir.com/creatink/style/type/icons.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style/type/icons.css	(from http://themes.iki-bir.com/creatink/index9.html)
16:04:15	167285/167285	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202019%2008:39:52%20GMT	http://themes.iki-bir.com/creatink/style.css	C:/Users/antor/Documents/my%20mew%20website/themes.iki-bir.com/creatink/style.css	(from http://themes.iki-bir.com/creatink/index9.html)
